date,racetrack,event_name,grade,event_type
2020/1/2,川口,平成３１年度川口市営第１３回第２節,普通,デイ
2020/1/2,浜松,平成３１年度浜松市営第８回第１節,普通,デイ
2020/1/3,川口,平成３１年度川口市営第１３回第２節,普通,デイ
2020/1/3,浜松,平成３１年度浜松市営第８回第１節,普通,デイ
2020/1/4,川口,平成３１年度川口市営第１３回第２節,普通,デイ
2020/1/4,浜松,平成３１年度浜松市営第８回第１節,普通,デイ
2020/1/5,川口,平成３１年度川口市営第１３回第２節,普通,デイ
2020/1/5,浜松,平成３１年度浜松市営第８回第１節,普通,デイ
2020/1/6,飯塚,平成３１年度飯塚市営第７回第１節,普通,デイ
2020/1/7,飯塚,平成３１年度飯塚市営第７回第１節,普通,デイ
2020/1/8,飯塚,平成３１年度飯塚市営第７回第１節,普通,デイ
2020/1/9,伊勢崎,ＧⅠ開場記念シルクカップ,GI,デイ
2020/1/10,伊勢崎,ＧⅠ開場記念シルクカップ,GI,デイ
2020/1/11,伊勢崎,ＧⅠ開場記念シルクカップ,GI,デイ
2020/1/12,伊勢崎,ＧⅠ開場記念シルクカップ,GI,デイ
2020/1/13,伊勢崎,ＧⅠ開場記念シルクカップ,GI,デイ
2020/1/14,飯塚,平成３１年度飯塚市営第７回第２節,普通,デイ
2020/1/15,飯塚,平成３１年度飯塚市営第７回第２節,普通,デイ
2020/1/16,飯塚,平成３１年度飯塚市営第７回第２節,普通,デイ
2020/1/17,浜松,平成３１年度浜松市営第７回第２節,普通,デイ
2020/1/18,山陽,平成３１年度山陽小野田市営第８回第２節,普通,デイ
2020/1/18,浜松,平成３１年度浜松市営第７回第２節,普通,デイ
2020/1/19,山陽,平成３１年度山陽小野田市営第８回第２節,普通,デイ
2020/1/19,浜松,平成３１年度浜松市営第７回第２節,普通,デイ
2020/1/20,伊勢崎,平成３１年度伊勢崎市営第９回第１節,普通,デイ
2020/1/20,山陽,平成３１年度山陽小野田市営第８回第２節,普通,デイ
2020/1/21,伊勢崎,平成３１年度伊勢崎市営第９回第１節,普通,デイ
2020/1/21,山陽,平成３１年度山陽小野田市営第８回第２節,普通,デイ
2020/1/22,伊勢崎,平成３１年度伊勢崎市営第９回第１節,普通,デイ
2020/1/23,伊勢崎,平成３１年度伊勢崎市営第９回第１節,普通,デイ
2020/1/24,山陽,平成３１年度山陽小野田市営第６回第１節,普通,デイ
2020/1/25,山陽,平成３１年度山陽小野田市営第６回第１節,普通,デイ
2020/1/26,山陽,平成３１年度山陽小野田市営第６回第１節,普通,デイ
2020/1/27,浜松,平成３１年度浜松市営第９回第１節,普通,デイ
2020/1/28,浜松,平成３１年度浜松市営第９回第１節,普通,デイ
2020/1/29,浜松,平成３１年度浜松市営第９回第１節,普通,デイ
2020/1/30,飯塚,平成３１年度飯塚市営第８回第１節,普通,デイ
2020/1/31,伊勢崎,平成３１年度伊勢崎市営第１１回第１節,普通,ナイター
2020/1/31,飯塚,平成３１年度飯塚市営第８回第１節,普通,デイ
2020/2/1,伊勢崎,平成３１年度伊勢崎市営第１１回第１節,普通,ナイター
2020/2/1,飯塚,平成３１年度飯塚市営第８回第１節,普通,デイ
2020/2/2,伊勢崎,平成３１年度伊勢崎市営第１１回第１節,普通,ナイター
2020/2/2,飯塚,平成３１年度飯塚市営第８回第１節,普通,デイ
2020/2/3,浜松,平成３１年度浜松市営第８回第２節,普通,デイ
2020/2/4,浜松,平成３１年度浜松市営第８回第２節,普通,デイ
2020/2/5,浜松,平成３１年度浜松市営第８回第２節,普通,デイ
2020/2/6,浜松,平成３１年度浜松市営第８回第２節,普通,デイ
2020/2/7,伊勢崎,平成３１年度伊勢崎市営第１１回第２節,普通,ナイター
2020/2/7,飯塚,ＧⅠ開設記念レース,GI,デイ
2020/2/8,伊勢崎,平成３１年度伊勢崎市営第１１回第２節,普通,ナイター
2020/2/8,飯塚,ＧⅠ開設記念レース,GI,デイ
2020/2/9,伊勢崎,平成３１年度伊勢崎市営第１１回第２節,普通,ナイター
2020/2/9,飯塚,ＧⅠ開設記念レース,GI,デイ
2020/2/10,飯塚,ＧⅠ開設記念レース,GI,デイ
2020/2/11,飯塚,ＧⅠ開設記念レース,GI,デイ
2020/2/13,飯塚,平成３１年度飯塚市営第９回第１節,普通,デイ
2020/2/14,飯塚,平成３１年度飯塚市営第９回第１節,普通,デイ
2020/2/15,飯塚,平成３１年度飯塚市営第９回第１節,普通,デイ
2020/2/16,浜松,平成３１年度浜松市営第９回第２節,普通,デイ
2020/2/16,飯塚,平成３１年度飯塚市営第９回第１節,普通,デイ
2020/2/17,浜松,平成３１年度浜松市営第９回第２節,普通,デイ
2020/2/18,浜松,平成３１年度浜松市営第９回第２節,普通,デイ
2020/2/19,伊勢崎,平成３１年度伊勢崎市営第１０回第１節,普通,デイ
2020/2/20,伊勢崎,平成３１年度伊勢崎市営第１０回第１節,普通,デイ
2020/2/21,伊勢崎,平成３１年度伊勢崎市営第１０回第１節,普通,デイ
2020/2/22,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2020/2/23,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2020/2/24,伊勢崎,平成３１年度伊勢崎市営第１１回第３節,普通,ナイター
2020/2/24,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2020/2/25,伊勢崎,平成３１年度伊勢崎市営第１１回第３節,普通,ナイター
2020/2/25,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2020/2/26,伊勢崎,平成３１年度伊勢崎市営第１１回第３節,普通,ナイター
2020/2/26,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2020/2/27,浜松,平成３１年度浜松市営第１０回第１節,普通,デイ
2020/2/28,浜松,平成３１年度浜松市営第１０回第１節,普通,デイ
2020/2/29,浜松,平成３１年度浜松市営第１０回第１節,普通,デイ
2020/2/29,飯塚,平成３１年度飯塚市営第９回第２節,普通,デイ
2020/3/1,浜松,平成３１年度浜松市営第１０回第１節,普通,デイ
2020/3/1,飯塚,平成３１年度飯塚市営第９回第２節,普通,デイ
2020/3/2,飯塚,平成３１年度飯塚市営第９回第２節,普通,デイ
2020/3/3,飯塚,平成３１年度飯塚市営第９回第２節,普通,デイ
2020/3/4,伊勢崎,ＧⅡレジェンドカップ,GII,デイ
2020/3/5,伊勢崎,ＧⅡレジェンドカップ,GII,デイ
2020/3/5,山陽,平成３１年度山陽小野田市営第９回第１節,普通,デイ
2020/3/6,伊勢崎,ＧⅡレジェンドカップ,GII,デイ
2020/3/6,山陽,平成３１年度山陽小野田市営第９回第１節,普通,デイ
2020/3/7,伊勢崎,ＧⅡレジェンドカップ,GII,デイ
