選手名,S力,独走力,追い込み力,雨巧拙,コース
青木　治親,4,3,3,5,イン
青山　周平,5,5,5,5,自在
秋田　貴弘,2,4,3,3,アウト
浅香　　潤,4,4,3,3,アウト
阿久津正夫,3,1,1,1,イン
浅倉　樹良,2,4,3,4,自在
阿部　剛士,3,4,3,3,アウト
新井　恵匠,4,4,3,4,アウト
五十嵐一夫,4,3,4,4,イン
新井　　淳,5,3,3,2,イン
池田　政和,4,5,5,2,自在
新井　日和,5,4,3,2,アウト
石井　大志,2,3,2,3,アウト
新井　裕貴,3,3,2,3,イン
石井　大輔,4,3,3,2,アウト
荒川　哲也,3,2,2,2,アウト
泉田　修佑,4,4,3,4,イン
石川　岳彦,2,2,2,2,イン
伊東　玲衣,3,3,2,2,アウト
石川　哲也,3,5,3,2,アウト
稲川　聖也,3,4,3,4,アウト
伊藤　正司,3,3,3,2,イン
岩佐　常義,2,3,3,2,イン
伊藤　正真,4,4,4,3,アウト
岩田　裕臣,4,3,3,3,イン
伊藤　弘幸,3,3,2,4,アウト
上原　大輝,2,3,2,2,アウト
伊藤　幸人,3,1,1,2,イン
牛沢　和彦,3,3,3,4,イン
猪熊　龍太,2,3,2,2,アウト
梅内　幹雄,2,3,3,4,アウト
岩田　行雄,4,4,4,3,イン
運天　諒雅,2,2,1,2,アウト
岩沼　靖郎,4,3,2,3,アウト
大木　　光,4,4,4,4,イン
内山　高秀,4,4,4,3,自在
岡崎　秀二,3,1,1,2,イン
生方　将人,3,3,2,3,アウト
小椋　華恋,4,4,3,2,アウト
大月　　渉,3,4,3,3,イン
押田　幸夫,3,3,2,2,アウト
押田　和也,3,3,3,3,アウト
加賀谷建明,3,5,5,5,自在
小田雄一朗,1,3,2,1,アウト
掛川　和人,4,4,3,3,アウト
落合　　淳,3,3,3,4,イン
影山　　伸,3,4,4,4,アウト
笠原　三義,3,2,2,2,アウト
片野　利沙,3,3,2,1,アウト
金山　周平,3,3,3,4,イン
金子　和裕,2,2,2,3,イン
亀井　政和,4,4,3,2,アウト
上和田拓海,4,4,3,3,イン
菅野　仁翔,4,4,2,3,アウト
川原　　剛,2,4,3,2,イン
北爪　勝義,3,3,2,2,イン
君和田裕二,3,3,2,4,アウト
北渡瀬　充,3,3,2,4,アウト
木村　悦教,3,2,2,2,イン
木部　匡作,3,3,2,2,アウト
黒川　京介,5,5,4,4,自在
木村　享平,2,4,2,2,アウト
高塚　義明,3,3,3,4,アウト
木村　義明,3,2,2,3,イン
小原　　望,3,4,3,3,イン
清岡　優一,3,3,2,3,アウト
小林　瑞季,4,4,4,4,自在
栗原　勝測,4,3,2,4,イン
斎藤　撤二,3,3,3,4,イン
栗原　俊介,3,4,3,3,アウト
小林　　晃,2,2,2,2,イン
佐藤　摩弥,5,4,4,4,自在
佐久間健光,3,4,4,3,アウト
佐藤　裕二,4,4,4,3,イン
桜井　晴光,3,4,3,3,アウト
佐藤　　励,4,5,5,4,自在
佐々木光輝,2,3,1,2,アウト
佐藤　智也,2,3,1,3,アウト
篠崎　　実,4,3,3,4,イン
猿谷　敦史,3,2,2,3,イン
柴山　信行,3,3,3,4,アウト
宍戸　幸雄,2,2,2,2,イン
島田　健一,2,2,2,3,イン
芝崎　茂信,3,2,2,3,イン
清水　雄平,2,2,2,2,アウト
渋沢　憲司,4,4,3,2,アウト
菅原　すずの,2,3,1,3,アウト
清水　　卓,4,2,2,3,イン
鈴木　　清,4,3,4,3,イン
白次　義孝,2,4,2,2,アウト
相馬　康夫,2,4,2,4,アウト
鈴木　幸治,3,3,2,4,アウト
染谷　和香,1,1,1,1,アウト
鈴木　清市,3,3,3,3,イン
高石　光将,4,4,2,2,アウト
鈴木　聡太,3,4,3,2,アウト
高橋　祐一,3,2,2,2,アウト
鈴木　将光,3,4,4,4,イン
高橋　義弘,4,4,4,3,アウト
高橋絵莉子,5,3,2,4,イン
田辺　　誠,4,3,3,4,イン
高橋　　貢,4,5,5,5,自在
塚本　浩司,2,2,2,2,アウト
高橋　義徳,3,3,2,4,アウト
中野　憲人,3,4,4,3,イン
滝沢　　健,2,1,1,1,イン
中村　雅人,4,5,5,5,自在
竹内　正浩,3,3,2,2,アウト
中山　　透,2,4,4,4,アウト
竹島　繁夫,3,1,1,1,イン
中山　　光,3,5,5,4,アウト
竹本　　修,3,3,2,2,アウト
永井　大介,5,5,5,3,自在
田崎　　萌,3,4,2,2,アウト
縫田　雅一,2,2,2,2,アウト
田中　　賢,4,4,3,4,アウト
信沢　綾乃,3,3,2,2,アウト
田中　　哲,3,3,4,3,イン
長谷川　啓,3,2,2,4,イン
谷川　一貴,2,3,2,3,アウト
早津　康介,4,4,3,2,アウト
谷津　圭治,4,4,4,3,イン
早船　　歩,4,4,3,3,イン
田村　治郎,4,4,4,4,イン
平川　博康,4,4,2,1,アウト
千葉　泰将,2,2,2,1,アウト
平田　雅崇,4,5,5,4,イン
塚越　浩之,3,3,4,3,イン
広瀬　勝光,4,3,3,4,アウト
戸塚　尚起,3,3,3,2,イン
深沢　　隆,3,2,2,2,イン
仲田恵一朗,3,4,3,3,アウト
深谷　　輝,3,4,3,4,アウト
中野　光公,2,4,3,4,イン
福田　裕二,4,3,3,4,アウト
中村　浩章,2,2,2,1,イン
福村　唯倫,3,3,3,4,イン
西原　智昭,4,4,4,4,アウト
古木　　賢,4,3,2,4,アウト
野沢　守弘,3,2,2,3,アウト
本田　仁恵,3,3,2,4,アウト
野本　佳章,5,3,3,4,イン
牧野　貴博,3,4,3,3,アウト
浜田　樹来,1,1,1,1,アウト
増田　伸一,3,3,2,5,アウト
早川清太郎,4,5,5,3,イン
松永　幸二,2,2,1,1,アウト
林　　稔哲,3,3,2,4,アウト
間中　大輔,3,3,3,4,イン
原田　富夫,2,2,1,1,イン
丸山　浩信,3,2,2,2,イン
深沢　　悟,2,2,2,2,イン
武藤　博臣,4,4,4,2,イン
藤本　梨恵,3,3,2,3,アウト
森　　且行,4,4,5,4,アウト
保永　高男,3,2,2,2,アウト
森谷　隼人,4,4,3,4,アウト
松村　　真,2,2,2,1,アウト
谷島　俊行,3,3,3,4,イン
松本　　康,4,4,4,4,イン
山際　真介,4,4,3,4,アウト
松本　　渉,2,2,1,2,イン
山口　航太,2,2,2,2,アウト
三浦　康平,4,4,4,3,イン
山田　達也,3,5,5,4,アウト
森村　　亮,3,4,3,3,アウト
山田　　徹,2,3,3,1,アウト
矢内　昌木,4,3,2,1,イン
山田　真弘,4,4,4,4,アウト
山中　充智,3,3,2,1,アウト
吉田　幸司,5,3,2,1,アウト
湯浅　　浩,3,3,2,3,イン
吉田　祐也,4,4,3,2,イン
横田　翔紀,4,4,3,4,アウト
若井　友和,3,4,5,5,イン
吉田　恵輔,4,3,3,5,イン
渡辺　　稔,3,2,2,2,イン
吉原　恭佑,5,4,3,4,イン
米里　信秀,3,2,2,2,アウト
渡辺　京二,2,2,2,1,イン
青嶋　裕治,2,2,2,2,アウト
青山　文敏,3,3,2,3,イン
青島　正樹,4,3,4,4,イン
秋吉　忠幸,3,2,2,3,イン
赤堀　　翼,3,3,2,2,アウト
阿部　仁志,4,4,3,4,イン
浅田　真吾,3,4,3,4,イン
荒尾　　聡,5,4,4,5,イン
浅野　浩幸,3,3,2,2,アウト
有吉　辰也,5,4,5,5,自在
石貝　武之,4,3,3,3,アウト
石橋　啓士,2,3,2,3,アウト
伊藤　信夫,4,5,5,3,自在
石本　圭耶,5,3,3,4,アウト
今田　真輔,2,3,2,2,イン
稲原　瑞穂,3,3,2,3,アウト
岩科　鮮太,3,4,4,4,イン
井上　智詞,2,3,2,3,アウト
岩本　君男,3,2,1,3,アウト
井村　淳一,3,3,4,4,イン
遠藤　　誠,4,3,3,4,イン
岩見　貴史,5,4,4,4,自在
岡谷美由紀,3,3,2,2,アウト
岩元　　毅,2,2,1,2,イン
落合　　巧,3,4,4,2,アウト
内山　雄介,3,3,3,3,イン
笠木　美孝,4,4,3,4,イン
浦田　信輔,4,3,3,3,イン
片岡　信之,2,1,1,1,イン
占部　健太,3,3,2,4,イン
金子　大輔,4,5,5,5,自在
大久保哲司,2,2,1,2,アウト
金田　悠伽,3,3,2,2,イン
越智　尚寿,4,3,3,3,アウト
上村　敏明,3,1,1,3,イン
片岡　賢児,4,2,2,2,アウト
北市　　唯,2,3,2,2,アウト
鐘ケ江将平,4,4,3,4,アウト
木村　武之,5,4,4,3,自在
川口　裕司,3,4,3,3,イン
木村　直幸,3,2,2,2,イン
川端　　孝,3,2,2,2,イン
栗原　佳祐,4,5,4,4,アウト
北原　岳哲,3,4,3,4,イン
小林　悠樹,3,3,3,1,アウト
城戸　　徹,2,2,1,1,アウト
小林　頼介,2,2,2,2,アウト
木山　優輝,3,4,4,3,イン
斎藤　正悟,3,3,2,4,イン
小里　健太,2,2,2,3,アウト
斎藤　　努,3,2,2,3,アウト
桜木　公和,3,3,4,4,イン
坂本　茉奈,1,1,1,1,アウト
佐藤　裕児,3,3,2,3,アウト
佐藤　貴也,5,4,5,5,イン
篠原　　睦,5,4,4,5,イン
佐藤　大地,4,4,3,3,アウト
新村　嘉之,3,3,2,4,アウト
柴田　健治,4,3,3,3,イン
高林　　亮,3,4,2,3,アウト
柴田　紘志,2,3,3,4,アウト
高宗　良次,4,4,4,4,アウト
下平　佳輝,4,2,2,4,イン
滝下　隼平,3,5,5,3,自在
城山　英文,2,1,1,2,イン
竹尾　竜星,2,3,2,3,アウト
鈴木　章夫,3,3,2,3,イン
竹谷　　隆,4,4,3,5,アウト
鈴木　一馬,3,4,3,3,アウト
竹中　修二,3,2,2,3,イン
鈴木圭一郎,5,5,5,5,自在
田島　敏徳,2,3,3,3,アウト
鈴木　啓示,2,2,1,2,アウト
田中　海斗,1,1,1,1,アウト
鈴木　景斗,2,2,1,2,アウト
田中　　茂,3,4,4,4,イン
鈴木　健吾,3,3,3,2,アウト
田中　　進,3,5,3,4,アウト
鈴木　静二,4,3,3,3,イン
田中　輝義,3,3,3,4,アウト
鈴木　辰己,4,2,2,2,イン
田中　正樹,4,4,3,3,アウト
鈴木　宏和,5,5,4,3,イン
辻　　大樹,4,4,3,4,アウト
関口　隆広,2,3,3,2,イン
壷井　亜羅汰,1,2,1,3,アウト
瀬戸尾郁宏,1,1,1,1,アウト
